ISIN,Symbol,Client ID,Counterparty,Trading Venue,Currency,Country of Trade,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Margin Status,FX Rate Applied,Pricing Source,Settlement Date,Settlement Status
US444878690,NVDA,CID4521,JPMorgan,NASDAQ,EUR,UK,Failed,No,9626.16,Initial,Satisfied,0.9969,Reuters,09-01-2024,Failed  
US511362334,NFLX,CID9833,JPMorgan,NYSE,GBP,US,Completed,No,55890,Variation,Satisfied,0.9801,Reuters,13-02-2024,Settled  
US623162018,BABA,CID2486,Morgan Stanley,IEX,USD,US,Failed,Yes,26531.43,Variation,Pending,1.0798,ICE,23-01-2024,Settled  
US316010828,MSFT,CID3303,Citibank,IEX,USD,DE,Failed,No,12827.36,Variation,Failed,0.8174,ICE,08-04-2024,Pending  
US303681429,NVDA,CID6632,Citibank,BATS,USD,DE,Completed,Yes,3731.08,Initial,Failed,1.0704,Reuters,01-05-2024,Settled  
US696783507,TSLA,CID8148,Goldman Sachs,BATS,USD,UK,Failed,No,15691.7,Variation,Pending,0.914,Bloomberg,26-03-2024,Settled  
US845269714,MSFT,CID3448,Citibank,NASDAQ,USD,DE,Pending,Yes,7071.54,Initial,Pending,1.0914,Bloomberg,15-04-2024,Failed  
US777621649,AAPL,CID1248,Goldman Sachs,BATS,GBP,UK,Failed,No,35236.5,Initial,Satisfied,0.9761,Bloomberg,04-03-2024,Settled  
US112219917,BABA,CID5796,JPMorgan,IEX,EUR,US,Completed,Yes,9410.65,Variation,Satisfied,1.1207,ICE,05-02-2024,Settled  
US504829074,BABA,CID4309,Goldman Sachs,BATS,USD,US,Completed,No,3524.54,Variation,Failed,1.0643,Bloomberg,21-04-2024,Failed  
US187405504,TSLA,CID4536,Morgan Stanley,IEX,USD,DE,Pending,No,10638.7,Initial,Failed,0.83,Bloomberg,31-03-2024,Settled  
US816630499,TSLA,CID1242,Morgan Stanley,NASDAQ,EUR,DE,Pending,Yes,6808.49,Initial,Failed,0.9987,Reuters,13-03-2024,Settled  
US674871357,NVDA,CID1487,Citibank,NASDAQ,EUR,US,Completed,Yes,33540.44,Initial,Satisfied,0.8411,Reuters,04-04-2024,Pending  
US590523117,MSFT,CID7067,JPMorgan,BATS,EUR,UK,Completed,No,19348.92,Initial,Satisfied,0.9434,Reuters,18-02-2024,Failed  
US971820697,NVDA,CID7892,Goldman Sachs,BATS,EUR,DE,Failed,Yes,4232.92,Variation,Satisfied,0.936,Bloomberg,02-03-2024,Failed  
US484858411,BABA,CID6879,Morgan Stanley,IEX,GBP,US,Pending,Yes,22636.96,Variation,Pending,0.8244,Reuters,27-03-2024,Settled  
US311809960,GOOGL,CID4297,JPMorgan,IEX,EUR,US,Completed,Yes,35152.95,Initial,Failed,0.8658,Reuters,22-01-2024,Settled  
US463417877,AAPL,CID5807,JPMorgan,NASDAQ,GBP,UK,Failed,No,70136.14,Initial,Pending,1.1037,Reuters,13-02-2024,Failed  
US796664232,NVDA,CID5829,Citibank,NASDAQ,USD,UK,Failed,Yes,14332.34,Variation,Pending,1.1463,ICE,28-02-2024,Settled  
US762207709,MSFT,CID9833,Citibank,NYSE,USD,UK,Pending,No,67082.03,Variation,Satisfied,0.826,ICE,23-04-2024,Pending  
US521862236,TSLA,CID6818,Citibank,NASDAQ,USD,DE,Pending,Yes,30778.33,Variation,Pending,0.971,ICE,09-04-2024,Settled  
US631021383,NFLX,CID8422,Goldman Sachs,NASDAQ,USD,US,Completed,Yes,20507.96,Variation,Pending,1.0327,Bloomberg,03-03-2024,Settled  
US536979056,META,CID6348,JPMorgan,NASDAQ,EUR,US,Failed,Yes,27439.77,Variation,Failed,0.9609,Bloomberg,09-04-2024,Failed  
US561125740,GOOGL,CID4789,Morgan Stanley,IEX,GBP,UK,Failed,Yes,27323.78,Variation,Satisfied,0.933,ICE,27-04-2024,Settled  
US768312799,ADBE,CID8687,Citibank,NASDAQ,EUR,UK,Failed,Yes,7852.99,Variation,Pending,0.8662,Reuters,04-02-2024,Failed  
US552352193,META,CID3084,Morgan Stanley,NASDAQ,EUR,UK,Failed,No,10139.44,Variation,Failed,0.997,ICE,17-02-2024,Settled  
US307778674,ADBE,CID9707,Morgan Stanley,NASDAQ,USD,US,Failed,No,13103.99,Variation,Pending,0.8626,Bloomberg,13-04-2024,Settled  
US438600198,GOOGL,CID6778,Morgan Stanley,NYSE,USD,US,Completed,No,13941.07,Variation,Failed,0.9282,Bloomberg,01-02-2024,Settled  
US597572676,MSFT,CID5742,Goldman Sachs,NYSE,GBP,DE,Completed,No,7275.56,Variation,Satisfied,1.1415,Bloomberg,28-02-2024,Pending  
US688143018,AAPL,CID9195,Goldman Sachs,NASDAQ,USD,DE,Failed,Yes,47047.41,Initial,Satisfied,0.8208,Reuters,17-01-2024,Settled  
US975554360,BABA,CID8459,Morgan Stanley,IEX,GBP,DE,Pending,Yes,36130.94,Variation,Satisfied,1.1371,Bloomberg,01-05-2024,Settled  
US180502694,META,CID7015,JPMorgan,IEX,EUR,US,Failed,Yes,8572.1,Variation,Satisfied,1.0298,Bloomberg,09-01-2024,Settled  
US562283653,BABA,CID2807,Citibank,NASDAQ,EUR,UK,Pending,No,13179.88,Initial,Pending,0.9652,Bloomberg,27-03-2024,Pending  
US758753118,MSFT,CID4183,Goldman Sachs,IEX,EUR,UK,Completed,Yes,29648.18,Variation,Satisfied,0.8137,Reuters,18-01-2024,Pending  
US566705407,TSLA,CID4381,Morgan Stanley,IEX,GBP,US,Pending,No,8372.05,Initial,Satisfied,1.1248,ICE,15-02-2024,Settled  
US477294160,ADBE,CID5063,JPMorgan,BATS,EUR,DE,Pending,No,14853.32,Initial,Failed,0.8546,Bloomberg,28-04-2024,Pending  
US128005684,BABA,CID4537,Citibank,NYSE,EUR,US,Pending,Yes,11098.39,Variation,Pending,0.9864,Bloomberg,23-02-2024,Settled  
US504953604,AMZN,CID5248,JPMorgan,BATS,EUR,US,Pending,No,21083.52,Initial,Pending,0.9022,Bloomberg,15-02-2024,Pending  
US894708418,TSLA,CID4999,Goldman Sachs,IEX,USD,DE,Pending,No,17600.02,Variation,Satisfied,1.0209,Bloomberg,09-04-2024,Settled  
US957674850,MSFT,CID4942,JPMorgan,NASDAQ,USD,US,Failed,No,12159.49,Variation,Satisfied,0.8892,Reuters,20-04-2024,Failed  
US299379488,MSFT,CID8418,Goldman Sachs,IEX,USD,DE,Pending,Yes,4828.36,Variation,Satisfied,0.8204,Reuters,10-03-2024,Settled  
US386930876,AAPL,CID9866,Citibank,IEX,GBP,US,Completed,No,16132.07,Initial,Satisfied,0.8467,Bloomberg,14-04-2024,Settled  
US486344894,GOOGL,CID1942,Morgan Stanley,BATS,EUR,UK,Pending,Yes,16830.11,Initial,Failed,0.889,ICE,15-04-2024,Failed  
US816600690,BABA,CID8668,Goldman Sachs,NYSE,USD,DE,Failed,Yes,44699.16,Initial,Failed,0.8591,Bloomberg,01-05-2024,Pending  
US407776453,NFLX,CID7322,Morgan Stanley,BATS,GBP,US,Completed,No,23271.35,Variation,Satisfied,1.1921,Bloomberg,24-02-2024,Settled  
US985881696,AAPL,CID8651,JPMorgan,NYSE,USD,DE,Pending,Yes,28653.7,Initial,Satisfied,1.1314,ICE,16-01-2024,Settled  
US101245731,META,CID9471,Goldman Sachs,NYSE,EUR,UK,Failed,No,39844.32,Variation,Satisfied,0.918,Bloomberg,14-04-2024,Pending  
US380495736,MSFT,CID7729,JPMorgan,NYSE,GBP,DE,Pending,No,14008.87,Initial,Satisfied,0.9046,Bloomberg,17-04-2024,Pending  
US661594578,GOOGL,CID4796,JPMorgan,NASDAQ,GBP,US,Completed,Yes,8893.11,Initial,Pending,1.0693,ICE,12-01-2024,Failed  
US653564485,NVDA,CID5309,Goldman Sachs,BATS,GBP,US,Failed,Yes,3011.59,Variation,Failed,1.1663,ICE,27-02-2024,Settled  
US557043454,MSFT,CID3938,JPMorgan,NASDAQ,GBP,DE,Failed,No,2356.13,Initial,Satisfied,0.9531,ICE,17-03-2024,Pending  
US778394722,META,CID6006,JPMorgan,NYSE,USD,UK,Failed,Yes,5187.28,Variation,Satisfied,0.8896,Bloomberg,31-03-2024,Settled  
US810077248,ADBE,CID7938,Goldman Sachs,BATS,EUR,UK,Pending,Yes,17763.76,Initial,Failed,0.9603,ICE,08-04-2024,Settled  
US705231901,AAPL,CID6307,JPMorgan,BATS,GBP,DE,Pending,Yes,2548.51,Variation,Pending,0.9516,ICE,18-04-2024,Settled  
US242234860,BABA,CID6882,JPMorgan,NYSE,GBP,US,Pending,No,28948.07,Variation,Failed,0.9234,Reuters,21-04-2024,Settled  
US503822330,NFLX,CID2269,JPMorgan,BATS,EUR,UK,Pending,No,51940.94,Initial,Satisfied,0.8401,Reuters,01-04-2024,Pending  
US815765397,AMZN,CID4080,Morgan Stanley,NYSE,GBP,DE,Pending,Yes,48163.34,Variation,Satisfied,0.8444,Bloomberg,06-04-2024,Settled  
US697627951,AMZN,CID6831,Morgan Stanley,NASDAQ,EUR,DE,Failed,Yes,22036.88,Initial,Satisfied,1.0804,Reuters,28-03-2024,Pending  
US381485465,META,CID8887,Citibank,BATS,GBP,US,Failed,No,43413.24,Variation,Failed,0.9174,Reuters,30-01-2024,Failed  
US737470851,BABA,CID7019,Goldman Sachs,NYSE,USD,DE,Pending,Yes,11592.56,Variation,Failed,1.1217,ICE,24-01-2024,Pending  
US374761770,NFLX,CID1597,Goldman Sachs,NASDAQ,EUR,DE,Completed,No,3910.3,Initial,Failed,1.0092,Reuters,31-03-2024,Pending  
US913440508,ADBE,CID1821,Goldman Sachs,NASDAQ,EUR,UK,Completed,Yes,21398.15,Initial,Satisfied,0.8926,ICE,03-03-2024,Settled  
US170103426,AAPL,CID4372,Goldman Sachs,NASDAQ,GBP,DE,Pending,Yes,41822.07,Variation,Failed,0.8585,ICE,24-03-2024,Pending  
US202009479,AMZN,CID9337,Goldman Sachs,NYSE,USD,UK,Completed,No,3874.23,Initial,Failed,0.9515,Reuters,16-03-2024,Settled  
US690396527,BABA,CID1583,Citibank,IEX,EUR,DE,Completed,No,34029.8,Variation,Failed,0.8151,Bloomberg,14-04-2024,Settled  
US594201452,ADBE,CID3007,Goldman Sachs,BATS,USD,UK,Pending,No,6487.36,Initial,Failed,0.8127,ICE,25-04-2024,Failed  
US629710937,NFLX,CID6559,Morgan Stanley,BATS,USD,DE,Failed,Yes,7204.92,Initial,Failed,0.8038,Bloomberg,06-01-2024,Settled  
US497135463,AAPL,CID9878,JPMorgan,NYSE,EUR,UK,Pending,Yes,33756.17,Initial,Pending,1.0663,Bloomberg,14-03-2024,Settled  
US449602380,ADBE,CID4865,Citibank,NYSE,EUR,DE,Completed,Yes,3895.84,Initial,Satisfied,1.0853,ICE,20-02-2024,Pending  
US620657212,NVDA,CID2481,Morgan Stanley,NASDAQ,USD,DE,Pending,No,4617.12,Variation,Failed,1.163,Bloomberg,26-02-2024,Settled  
US370901992,AMZN,CID4116,JPMorgan,BATS,USD,UK,Pending,No,22928.27,Initial,Pending,1.1439,ICE,15-04-2024,Settled  
US938802605,ADBE,CID1055,Morgan Stanley,IEX,GBP,US,Completed,No,30429.6,Initial,Failed,1.0555,Bloomberg,14-04-2024,Pending  
US986172895,BABA,CID9715,Morgan Stanley,BATS,EUR,DE,Pending,Yes,31879.86,Variation,Failed,1.1734,ICE,01-02-2024,Settled  
US817729491,NVDA,CID9246,Morgan Stanley,BATS,EUR,US,Completed,Yes,6911.64,Initial,Failed,0.9673,Reuters,04-03-2024,Settled  
US128924867,GOOGL,CID6045,Morgan Stanley,IEX,USD,US,Pending,No,9375.91,Initial,Pending,1.0217,ICE,28-01-2024,Pending  
US908300146,GOOGL,CID8160,JPMorgan,NYSE,USD,US,Pending,No,9446.96,Variation,Satisfied,0.9474,Bloomberg,03-03-2024,Pending  
US423350887,TSLA,CID2723,Morgan Stanley,NYSE,EUR,DE,Failed,Yes,1647.87,Initial,Pending,0.8704,Reuters,26-03-2024,Settled  
US321741526,NVDA,CID2116,JPMorgan,NYSE,EUR,DE,Failed,Yes,16192.55,Variation,Pending,0.9357,Reuters,14-02-2024,Pending  
US644852751,GOOGL,CID6269,Morgan Stanley,IEX,GBP,DE,Pending,Yes,23282.88,Initial,Failed,1.1508,Reuters,29-01-2024,Failed  
US114280271,MSFT,CID9666,JPMorgan,BATS,GBP,UK,Completed,No,18394.17,Variation,Satisfied,1.0377,Reuters,07-02-2024,Pending  
US371218485,ADBE,CID7178,Citibank,NYSE,EUR,US,Failed,Yes,12668.99,Initial,Pending,0.8124,Bloomberg,31-01-2024,Failed  
US985144661,BABA,CID5064,Goldman Sachs,IEX,GBP,DE,Completed,Yes,19951.49,Initial,Satisfied,1.0974,Reuters,19-03-2024,Pending  
US165773891,TSLA,CID1186,Citibank,NYSE,USD,UK,Completed,Yes,25370.8,Variation,Failed,1.0228,Reuters,30-01-2024,Settled  
US326433101,AAPL,CID8497,Citibank,NYSE,GBP,US,Completed,Yes,6132.66,Initial,Pending,0.8808,Reuters,29-03-2024,Pending  
US857067533,BABA,CID8163,Goldman Sachs,NYSE,USD,UK,Failed,No,33434.16,Variation,Pending,0.949,Reuters,05-01-2024,Settled  
US598667764,NVDA,CID6707,JPMorgan,IEX,EUR,US,Pending,No,5626.21,Initial,Failed,0.874,ICE,21-04-2024,Settled  
US316288678,GOOGL,CID5457,JPMorgan,NYSE,USD,DE,Pending,Yes,3868.07,Initial,Satisfied,0.9578,ICE,25-02-2024,Failed  
US517118141,AAPL,CID3605,Goldman Sachs,BATS,EUR,UK,Completed,No,65179.19,Initial,Pending,0.824,ICE,10-03-2024,Failed  
US913848569,ADBE,CID9648,Goldman Sachs,NYSE,USD,US,Failed,Yes,8540.63,Initial,Failed,1.1288,ICE,05-02-2024,Settled  
US331487828,META,CID8424,Morgan Stanley,NYSE,EUR,UK,Failed,No,1576.68,Initial,Satisfied,1.0723,Reuters,24-02-2024,Failed  
US946031380,GOOGL,CID2797,Morgan Stanley,NASDAQ,USD,US,Failed,Yes,5194.68,Variation,Satisfied,1.1693,Reuters,26-01-2024,Failed  
US755688998,MSFT,CID5057,Goldman Sachs,IEX,GBP,UK,Pending,Yes,48680.46,Variation,Satisfied,1.0273,Reuters,28-02-2024,Settled  
US654890535,AAPL,CID9624,JPMorgan,NASDAQ,GBP,US,Completed,No,19066.98,Initial,Satisfied,0.9475,ICE,05-01-2024,Settled  
US484725127,AAPL,CID4378,Citibank,NASDAQ,GBP,UK,Pending,No,23544.53,Initial,Pending,1.0197,Bloomberg,11-02-2024,Pending  
US838165259,BABA,CID7338,Citibank,NASDAQ,USD,UK,Pending,No,3298.98,Initial,Failed,1.1197,Reuters,27-03-2024,Failed  
US672382904,NVDA,CID4416,Goldman Sachs,NYSE,EUR,US,Pending,No,3061.63,Variation,Failed,1.0065,ICE,11-03-2024,Settled  
US568231562,TSLA,CID5624,Morgan Stanley,NYSE,USD,UK,Failed,No,29239.42,Variation,Satisfied,0.9613,Reuters,29-01-2024,Pending  
US954087449,NVDA,CID8346,Morgan Stanley,IEX,EUR,UK,Failed,Yes,5074.23,Variation,Satisfied,0.9534,ICE,09-02-2024,Pending  
US209334640,AMZN,CID1558,Morgan Stanley,BATS,EUR,US,Completed,Yes,8337.59,Initial,Satisfied,0.9801,Reuters,15-04-2024,Settled  
US907221758,MSFT,CID5934,Morgan Stanley,NYSE,GBP,DE,Failed,No,4438.89,Variation,Satisfied,1.0602,Bloomberg,11-02-2024,Failed  
US165267967,ADBE,CID5730,Citibank,NYSE,GBP,US,Completed,Yes,18419.78,Variation,Pending,0.9484,Bloomberg,09-04-2024,Settled  
US724779138,NFLX,CID1734,Citibank,IEX,EUR,UK,Failed,No,57550.5,Initial,Pending,0.8433,Reuters,16-04-2024,Failed  
US290976322,AAPL,CID2349,Goldman Sachs,NASDAQ,EUR,UK,Pending,Yes,13306.23,Variation,Pending,0.8139,ICE,20-01-2024,Failed  
US179229680,TSLA,CID7901,Morgan Stanley,NASDAQ,EUR,US,Completed,No,48988.14,Initial,Pending,1.0248,ICE,13-04-2024,Pending  
US359561529,NVDA,CID7694,Morgan Stanley,BATS,GBP,DE,Failed,Yes,3036.66,Initial,Pending,1.1548,ICE,10-02-2024,Pending  
US758662104,NVDA,CID5490,Citibank,NYSE,EUR,DE,Failed,No,36565.75,Variation,Failed,0.969,Bloomberg,01-04-2024,Settled  
US865257652,META,CID6327,Morgan Stanley,BATS,EUR,US,Completed,Yes,4259.38,Initial,Satisfied,0.8568,Reuters,07-04-2024,Settled  
US346088215,NVDA,CID5055,Morgan Stanley,BATS,GBP,US,Failed,No,29656.94,Initial,Pending,0.8699,ICE,07-03-2024,Settled  
US178720192,GOOGL,CID9212,Goldman Sachs,NASDAQ,USD,US,Pending,Yes,549.15,Variation,Satisfied,0.966,Bloomberg,03-03-2024,Settled  
US504363090,TSLA,CID5716,Citibank,BATS,EUR,DE,Failed,Yes,8569.31,Initial,Failed,1.0014,Reuters,11-03-2024,Settled  
US718014468,AAPL,CID5828,Morgan Stanley,NASDAQ,USD,UK,Completed,No,12151.46,Initial,Failed,0.9783,ICE,26-02-2024,Settled  
US406775814,AAPL,CID8308,Morgan Stanley,BATS,USD,UK,Completed,Yes,33107.51,Initial,Pending,0.8544,ICE,26-04-2024,Pending  
US272145266,MSFT,CID6681,Morgan Stanley,NYSE,USD,DE,Pending,No,2897.34,Variation,Satisfied,0.8096,ICE,22-02-2024,Settled  
US287699055,META,CID9711,Goldman Sachs,NYSE,USD,UK,Failed,Yes,42774.89,Initial,Satisfied,0.8886,Reuters,03-04-2024,Failed  
US224908943,BABA,CID7614,Goldman Sachs,BATS,USD,UK,Completed,Yes,52651.65,Variation,Pending,1.0441,ICE,29-04-2024,Settled  
US400636821,MSFT,CID4574,JPMorgan,BATS,EUR,UK,Failed,Yes,29790.98,Initial,Pending,0.9845,ICE,06-01-2024,Settled  
US244143429,AAPL,CID8633,Citibank,IEX,GBP,US,Failed,No,18347.24,Initial,Satisfied,0.9205,Bloomberg,25-02-2024,Pending  
US525451313,BABA,CID6283,JPMorgan,BATS,EUR,US,Completed,No,6569.63,Initial,Pending,1.1554,Reuters,07-03-2024,Pending  
US221996257,NVDA,CID9297,Morgan Stanley,IEX,USD,US,Failed,Yes,4020.46,Initial,Satisfied,1.1146,ICE,04-02-2024,Settled  
US200366430,NFLX,CID6377,Morgan Stanley,NASDAQ,EUR,DE,Completed,No,2613.38,Initial,Satisfied,0.9601,Reuters,14-04-2024,Pending  
US463476242,AAPL,CID9819,Morgan Stanley,IEX,GBP,US,Completed,Yes,14540.61,Variation,Pending,0.832,Reuters,24-03-2024,Pending  
US816001450,AAPL,CID5143,Goldman Sachs,IEX,EUR,US,Pending,Yes,11223.91,Initial,Failed,1.1129,Bloomberg,23-03-2024,Failed  
US922971003,TSLA,CID1449,Morgan Stanley,NASDAQ,EUR,DE,Pending,No,16414.58,Initial,Failed,0.9074,Bloomberg,29-04-2024,Settled  
US258309381,ADBE,CID4757,Citibank,BATS,GBP,US,Pending,Yes,32516.12,Variation,Pending,1.1209,Bloomberg,01-02-2024,Settled  
US872772438,GOOGL,CID7593,Morgan Stanley,NYSE,USD,UK,Pending,No,11172.73,Initial,Failed,1.1155,Reuters,14-02-2024,Failed  
US380365808,BABA,CID9458,Morgan Stanley,NYSE,GBP,UK,Completed,No,21443.76,Initial,Satisfied,0.8983,Bloomberg,06-04-2024,Settled  
US331515580,AMZN,CID5110,Morgan Stanley,BATS,EUR,DE,Pending,No,3222.33,Variation,Failed,0.9618,Bloomberg,01-04-2024,Pending  
US815607195,NFLX,CID1461,JPMorgan,NASDAQ,EUR,US,Completed,No,17531.64,Initial,Failed,0.8598,ICE,26-02-2024,Settled  
US840181830,TSLA,CID9511,Morgan Stanley,NYSE,USD,DE,Failed,No,30177.24,Initial,Failed,0.9947,Reuters,19-04-2024,Pending  
US239128843,TSLA,CID9392,Goldman Sachs,IEX,GBP,US,Completed,No,3029.32,Initial,Failed,0.8765,Bloomberg,22-02-2024,Failed  
US429169637,TSLA,CID9837,Morgan Stanley,NASDAQ,EUR,UK,Failed,Yes,1382.05,Variation,Failed,1.1999,Bloomberg,27-02-2024,Settled  
US832593540,NVDA,CID1101,Citibank,NASDAQ,EUR,DE,Pending,No,29213.62,Variation,Satisfied,0.8945,ICE,23-01-2024,Settled  
US221496442,NVDA,CID3467,Morgan Stanley,IEX,EUR,US,Pending,Yes,12339.55,Variation,Pending,0.9948,Bloomberg,06-02-2024,Failed  
US473404630,NFLX,CID6699,Morgan Stanley,BATS,USD,DE,Pending,Yes,7758.26,Initial,Satisfied,0.8964,Bloomberg,19-04-2024,Pending  
US152934355,ADBE,CID6653,JPMorgan,NASDAQ,USD,US,Completed,No,10374.16,Variation,Failed,1.1608,Bloomberg,03-02-2024,Settled  
US692574842,ADBE,CID5106,Morgan Stanley,NASDAQ,GBP,US,Pending,Yes,32229.11,Variation,Satisfied,1.1798,Reuters,18-01-2024,Settled  
US751609554,BABA,CID2450,Goldman Sachs,NASDAQ,EUR,DE,Completed,No,7138.06,Variation,Satisfied,0.9643,Reuters,10-04-2024,Failed  
US421725107,AMZN,CID9385,Goldman Sachs,IEX,GBP,UK,Pending,No,19894.74,Initial,Failed,0.8731,ICE,17-04-2024,Settled  
US474152465,ADBE,CID3536,Morgan Stanley,IEX,GBP,DE,Pending,Yes,60074.85,Initial,Failed,1.0481,Bloomberg,06-02-2024,Pending  
US117728129,ADBE,CID6682,Goldman Sachs,IEX,EUR,UK,Failed,Yes,55578.24,Variation,Failed,0.8549,Bloomberg,12-03-2024,Failed  
US351154801,AMZN,CID6572,Goldman Sachs,NYSE,USD,US,Completed,Yes,42198.7,Initial,Satisfied,0.9317,Bloomberg,30-01-2024,Failed  
US782184971,NVDA,CID1816,Morgan Stanley,BATS,EUR,UK,Pending,Yes,5311.63,Variation,Failed,0.8679,ICE,10-04-2024,Pending  
US326988196,META,CID6675,Morgan Stanley,NASDAQ,EUR,UK,Pending,Yes,35031.99,Initial,Pending,0.8307,Bloomberg,24-01-2024,Settled  
US495114423,META,CID4613,Morgan Stanley,IEX,EUR,DE,Pending,No,34152.98,Variation,Pending,0.8516,Reuters,13-01-2024,Pending  
US640029417,NFLX,CID8158,Citibank,NASDAQ,USD,DE,Completed,No,37839.42,Variation,Pending,0.8252,Bloomberg,19-01-2024,Settled  
US168111475,AAPL,CID3741,Morgan Stanley,NASDAQ,USD,DE,Completed,No,15849.19,Initial,Failed,1.1691,Reuters,22-03-2024,Settled  
US327952717,AAPL,CID5213,Morgan Stanley,BATS,USD,DE,Completed,Yes,33516.52,Initial,Failed,1.1906,Reuters,09-04-2024,Pending  
US610716003,ADBE,CID1347,JPMorgan,IEX,EUR,DE,Failed,No,14675.68,Variation,Failed,0.993,Reuters,17-01-2024,Pending  
US588589324,GOOGL,CID9530,Citibank,NASDAQ,GBP,UK,Failed,No,1615.81,Initial,Pending,1.0087,Reuters,26-01-2024,Failed  
