Currency Pair,Counterparty,Base Currency,Term Currency,Execution Venue,Product Type,Booking Location,Portfolio,Trade Source System,Custodian,Settlement Instructions,Netting Eligibility,KYC Status,Sanctions Screening,Settlement Currency,Cost Center,Expense Approval Status,Settlement Date,Settlement Method,Settlement Status
USD/INR,Citi,USD,INR,EBS,Forward,Mumbai,PORT4,Custom,JP Morgan,Standard,No,Completed,Clear,INR,FX_FIN_03,Rejected,19-05-2025,Netting,Failed
AUD/USD,Citi,AUD,USD,Bloomberg,Spot,New York,PORT5,Custom,BNY Mellon,Special,Yes,Completed,Flagged,USD,FX_FIN_03,Approved,19-05-2025,Netting,Pending
GBP/USD,Deutsche,GBP,USD,360T,Forward,London,PORT2,Murex,State Street,Special,Yes,Rejected,Clear,USD,FX_FIN_03,Rejected,09-06-2025,Netting,Settled
AUD/USD,Citi,AUD,USD,Bloomberg,Spot,Singapore,PORT1,Custom,State Street,Urgent,No,Completed,Clear,USD,FX_OPS_01,Approved,06-06-2025,Wire,Settled
USD/INR,JPMorgan,USD,INR,Bloomberg,Forward,Mumbai,PORT2,Murex,HSBC Custody,Urgent,No,Pending,Pending Review,INR,FX_FIN_03,Rejected,22-05-2025,Netting,Failed
USD/CHF,BNP Paribas,USD,CHF,EBS,Spot,New York,PORT3,Custom,State Street,Urgent,No,Rejected,Clear,CHF,FX_TRD_02,Under Review,07-06-2025,Netting,Failed
USD/INR,BNP Paribas,USD,INR,Reuters,Swap,London,PORT4,Murex,State Street,Special,No,Rejected,Clear,INR,FX_TRD_02,Rejected,16-05-2025,CLS,Failed
USD/JPY,Citi,USD,JPY,Bloomberg,Swap,Mumbai,PORT3,Custom,State Street,Standard,Yes,Rejected,Pending Review,JPY,FX_OPS_01,Under Review,28-05-2025,Netting,Settled
GBP/USD,JPMorgan,GBP,USD,Reuters,Swap,Singapore,PORT3,Custom,BNY Mellon,Urgent,No,Rejected,Flagged,USD,FX_OPS_01,Rejected,03-06-2025,Netting,Pending
USD/CHF,Deutsche,USD,CHF,Bloomberg,Forward,Singapore,PORT3,Summit,HSBC Custody,Urgent,No,Completed,Clear,CHF,FX_FIN_03,Approved,16-05-2025,CLS,Failed
GBP/USD,Deutsche,GBP,USD,EBS,Spot,London,PORT3,Calypso,State Street,Standard,No,Pending,Flagged,USD,FX_TRD_02,Approved,07-06-2025,CLS,Settled
AUD/USD,JPMorgan,AUD,USD,EBS,Swap,Mumbai,PORT5,Calypso,JP Morgan,Special,Yes,Rejected,Pending Review,USD,FX_TRD_02,Approved,16-05-2025,CLS,Failed
USD/JPY,JPMorgan,USD,JPY,Bloomberg,Spot,Mumbai,PORT5,Calypso,BNY Mellon,Urgent,No,Completed,Pending Review,JPY,FX_TRD_02,Rejected,21-05-2025,CLS,Failed
GBP/USD,Citi,GBP,USD,EBS,Forward,Singapore,PORT4,Custom,State Street,Special,No,Rejected,Flagged,USD,FX_FIN_03,Rejected,26-05-2025,Wire,Failed
AUD/USD,BNP Paribas,AUD,USD,360T,Forward,New York,PORT3,Summit,JP Morgan,Special,No,Completed,Pending Review,USD,FX_OPS_01,Under Review,31-05-2025,Wire,Settled
EUR/USD,Deutsche,EUR,USD,EBS,Spot,London,PORT5,Summit,JP Morgan,Urgent,Yes,Completed,Pending Review,USD,FX_OPS_01,Under Review,03-06-2025,CLS,Settled
EUR/USD,Citi,EUR,USD,EBS,Forward,London,PORT1,Summit,BNY Mellon,Special,No,Rejected,Clear,USD,FX_TRD_02,Rejected,24-05-2025,CLS,Settled
USD/CHF,HSBC,USD,CHF,Reuters,Swap,London,PORT4,Summit,BNY Mellon,Urgent,No,Rejected,Flagged,CHF,FX_FIN_03,Under Review,27-05-2025,Netting,Pending
AUD/USD,JPMorgan,AUD,USD,Bloomberg,Forward,Mumbai,PORT1,Summit,State Street,Standard,Yes,Pending,Flagged,USD,FX_OPS_01,Under Review,13-05-2025,Netting,Settled
USD/INR,Citi,USD,INR,EBS,Forward,New York,PORT1,Murex,JP Morgan,Urgent,Yes,Pending,Clear,INR,FX_OPS_01,Approved,07-06-2025,Wire,Settled
USD/CHF,Citi,USD,CHF,360T,Spot,London,PORT3,Calypso,HSBC Custody,Standard,Yes,Completed,Flagged,CHF,FX_TRD_02,Under Review,29-05-2025,Netting,Settled
AUD/USD,Deutsche,AUD,USD,Reuters,Forward,Singapore,PORT5,Murex,JP Morgan,Special,No,Rejected,Clear,USD,FX_OPS_01,Under Review,25-05-2025,CLS,Settled
USD/JPY,Deutsche,USD,JPY,EBS,Spot,Mumbai,PORT4,Calypso,HSBC Custody,Special,Yes,Pending,Clear,JPY,FX_TRD_02,Approved,24-05-2025,Netting,Failed
USD/CHF,HSBC,USD,CHF,Bloomberg,Swap,London,PORT4,Summit,HSBC Custody,Special,Yes,Rejected,Pending Review,CHF,FX_FIN_03,Rejected,03-06-2025,Netting,Settled
USD/JPY,JPMorgan,USD,JPY,EBS,Swap,New York,PORT3,Custom,JP Morgan,Standard,Yes,Completed,Clear,JPY,FX_TRD_02,Approved,17-05-2025,Wire,Settled
AUD/USD,Citi,AUD,USD,360T,Swap,Singapore,PORT5,Murex,JP Morgan,Standard,No,Pending,Pending Review,USD,FX_FIN_03,Rejected,21-05-2025,Wire,Settled
USD/CHF,Deutsche,USD,CHF,Reuters,Forward,New York,PORT2,Custom,BNY Mellon,Standard,Yes,Pending,Pending Review,CHF,FX_FIN_03,Approved,05-06-2025,Wire,Settled
GBP/USD,BNP Paribas,GBP,USD,EBS,Swap,London,PORT2,Calypso,JP Morgan,Urgent,Yes,Pending,Flagged,USD,FX_TRD_02,Rejected,05-06-2025,Wire,Settled
USD/INR,Citi,USD,INR,EBS,Swap,Singapore,PORT2,Calypso,State Street,Urgent,No,Pending,Clear,INR,FX_FIN_03,Rejected,06-06-2025,Netting,Pending
GBP/USD,HSBC,GBP,USD,Reuters,Swap,Mumbai,PORT1,Calypso,State Street,Standard,Yes,Rejected,Clear,USD,FX_TRD_02,Rejected,29-05-2025,CLS,Pending
USD/JPY,HSBC,USD,JPY,Bloomberg,Swap,London,PORT4,Murex,BNY Mellon,Urgent,Yes,Rejected,Pending Review,JPY,FX_TRD_02,Rejected,08-06-2025,CLS,Failed
AUD/USD,Citi,AUD,USD,360T,Swap,New York,PORT1,Summit,JP Morgan,Special,No,Rejected,Flagged,USD,FX_FIN_03,Under Review,24-05-2025,CLS,Failed
USD/CHF,JPMorgan,USD,CHF,360T,Spot,Mumbai,PORT3,Summit,State Street,Special,Yes,Completed,Clear,CHF,FX_TRD_02,Rejected,22-05-2025,CLS,Failed
USD/CHF,JPMorgan,USD,CHF,Bloomberg,Forward,New York,PORT4,Murex,State Street,Special,No,Completed,Flagged,CHF,FX_TRD_02,Approved,17-05-2025,Wire,Failed
USD/CHF,Citi,USD,CHF,EBS,Forward,London,PORT3,Custom,JP Morgan,Urgent,Yes,Pending,Flagged,CHF,FX_FIN_03,Under Review,23-05-2025,Wire,Failed
USD/INR,Citi,USD,INR,EBS,Spot,Singapore,PORT5,Summit,State Street,Standard,Yes,Pending,Pending Review,INR,FX_TRD_02,Approved,19-05-2025,CLS,Failed
EUR/USD,Deutsche,EUR,USD,Reuters,Spot,Singapore,PORT4,Calypso,JP Morgan,Urgent,No,Rejected,Clear,USD,FX_FIN_03,Rejected,15-05-2025,CLS,Settled
EUR/USD,Citi,EUR,USD,EBS,Forward,Mumbai,PORT1,Summit,JP Morgan,Urgent,No,Rejected,Pending Review,USD,FX_FIN_03,Approved,10-05-2025,CLS,Failed
USD/CHF,HSBC,USD,CHF,EBS,Forward,New York,PORT5,Custom,State Street,Urgent,No,Rejected,Flagged,CHF,FX_FIN_03,Rejected,26-05-2025,CLS,Pending
USD/CHF,Citi,USD,CHF,EBS,Spot,London,PORT3,Murex,State Street,Standard,No,Completed,Clear,CHF,FX_FIN_03,Rejected,05-06-2025,CLS,Failed
GBP/USD,JPMorgan,GBP,USD,Reuters,Spot,London,PORT4,Summit,State Street,Special,No,Completed,Clear,USD,FX_TRD_02,Rejected,28-05-2025,CLS,Failed
EUR/USD,JPMorgan,EUR,USD,EBS,Spot,Mumbai,PORT5,Summit,JP Morgan,Standard,No,Rejected,Clear,USD,FX_TRD_02,Rejected,04-06-2025,Wire,Settled
GBP/USD,JPMorgan,GBP,USD,EBS,Forward,Mumbai,PORT1,Murex,State Street,Urgent,No,Pending,Pending Review,USD,FX_TRD_02,Under Review,11-05-2025,Wire,Failed
GBP/USD,Citi,GBP,USD,360T,Swap,New York,PORT3,Custom,BNY Mellon,Special,No,Completed,Flagged,USD,FX_FIN_03,Under Review,05-06-2025,CLS,Settled
EUR/USD,Citi,EUR,USD,EBS,Swap,Singapore,PORT5,Summit,JP Morgan,Urgent,No,Rejected,Flagged,USD,FX_TRD_02,Rejected,20-05-2025,CLS,Pending
EUR/USD,Deutsche,EUR,USD,Bloomberg,Swap,London,PORT4,Custom,State Street,Urgent,No,Completed,Pending Review,USD,FX_TRD_02,Approved,26-05-2025,CLS,Pending
USD/INR,Citi,USD,INR,EBS,Spot,London,PORT4,Calypso,BNY Mellon,Special,Yes,Rejected,Pending Review,INR,FX_TRD_02,Rejected,24-05-2025,Wire,Pending
USD/INR,Citi,USD,INR,Reuters,Swap,Singapore,PORT4,Calypso,BNY Mellon,Special,Yes,Pending,Clear,INR,FX_OPS_01,Rejected,14-05-2025,CLS,Pending
USD/INR,Deutsche,USD,INR,EBS,Spot,London,PORT2,Summit,JP Morgan,Standard,Yes,Rejected,Pending Review,INR,FX_OPS_01,Rejected,20-05-2025,Netting,Settled
GBP/USD,Deutsche,GBP,USD,Reuters,Forward,London,PORT2,Murex,BNY Mellon,Special,No,Rejected,Clear,USD,FX_TRD_02,Approved,03-06-2025,Netting,Pending
USD/CHF,BNP Paribas,USD,CHF,Bloomberg,Swap,New York,PORT5,Murex,JP Morgan,Special,Yes,Pending,Pending Review,CHF,FX_TRD_02,Approved,10-06-2025,Netting,Failed
AUD/USD,Deutsche,AUD,USD,Bloomberg,Forward,London,PORT2,Summit,HSBC Custody,Standard,No,Completed,Clear,USD,FX_OPS_01,Under Review,15-05-2025,Netting,Settled
AUD/USD,BNP Paribas,AUD,USD,360T,Spot,Mumbai,PORT4,Summit,State Street,Urgent,Yes,Completed,Flagged,USD,FX_TRD_02,Under Review,05-06-2025,Wire,Failed
USD/INR,HSBC,USD,INR,Bloomberg,Forward,Singapore,PORT4,Calypso,HSBC Custody,Special,Yes,Pending,Clear,INR,FX_TRD_02,Approved,05-06-2025,CLS,Pending
AUD/USD,Citi,AUD,USD,360T,Spot,Singapore,PORT4,Calypso,HSBC Custody,Urgent,No,Rejected,Flagged,USD,FX_FIN_03,Rejected,04-06-2025,Wire,Failed
USD/INR,Citi,USD,INR,EBS,Forward,Mumbai,PORT2,Calypso,JP Morgan,Special,Yes,Completed,Flagged,INR,FX_OPS_01,Under Review,03-06-2025,Wire,Pending
GBP/USD,Deutsche,GBP,USD,Reuters,Forward,London,PORT1,Custom,BNY Mellon,Special,No,Completed,Clear,USD,FX_OPS_01,Under Review,24-05-2025,Wire,Settled
USD/JPY,BNP Paribas,USD,JPY,Reuters,Swap,New York,PORT1,Custom,State Street,Urgent,No,Completed,Flagged,JPY,FX_FIN_03,Rejected,05-06-2025,Netting,Pending
USD/CHF,Citi,USD,CHF,Bloomberg,Forward,Mumbai,PORT3,Calypso,HSBC Custody,Special,Yes,Rejected,Flagged,CHF,FX_OPS_01,Approved,08-06-2025,Wire,Pending
GBP/USD,BNP Paribas,GBP,USD,360T,Forward,Mumbai,PORT2,Murex,HSBC Custody,Standard,Yes,Pending,Pending Review,USD,FX_FIN_03,Rejected,12-05-2025,Wire,Failed
USD/INR,Citi,USD,INR,EBS,Forward,New York,PORT2,Summit,State Street,Special,No,Pending,Pending Review,INR,FX_TRD_02,Approved,14-05-2025,CLS,Pending
AUD/USD,Citi,AUD,USD,EBS,Spot,New York,PORT3,Murex,State Street,Standard,Yes,Rejected,Pending Review,USD,FX_OPS_01,Approved,24-05-2025,Wire,Settled
USD/JPY,Citi,USD,JPY,Bloomberg,Forward,New York,PORT4,Custom,JP Morgan,Urgent,No,Rejected,Flagged,JPY,FX_OPS_01,Approved,04-06-2025,Wire,Pending
USD/JPY,Citi,USD,JPY,360T,Forward,Singapore,PORT2,Calypso,State Street,Special,Yes,Rejected,Flagged,JPY,FX_FIN_03,Approved,31-05-2025,Netting,Failed
EUR/USD,Deutsche,EUR,USD,Bloomberg,Forward,Singapore,PORT3,Murex,State Street,Special,Yes,Completed,Clear,USD,FX_FIN_03,Approved,24-05-2025,Netting,Failed
USD/JPY,BNP Paribas,USD,JPY,EBS,Spot,Mumbai,PORT3,Calypso,JP Morgan,Standard,No,Pending,Clear,JPY,FX_TRD_02,Approved,15-05-2025,Wire,Settled
EUR/USD,HSBC,EUR,USD,EBS,Forward,Singapore,PORT5,Summit,State Street,Special,Yes,Completed,Flagged,USD,FX_TRD_02,Approved,17-05-2025,Wire,Pending
AUD/USD,Citi,AUD,USD,Reuters,Spot,Mumbai,PORT3,Calypso,HSBC Custody,Special,Yes,Rejected,Flagged,USD,FX_TRD_02,Rejected,17-05-2025,CLS,Settled
USD/CHF,Deutsche,USD,CHF,Reuters,Forward,Mumbai,PORT4,Summit,State Street,Standard,Yes,Completed,Pending Review,CHF,FX_FIN_03,Under Review,01-06-2025,Wire,Settled
GBP/USD,BNP Paribas,GBP,USD,Bloomberg,Spot,New York,PORT5,Summit,BNY Mellon,Standard,No,Pending,Flagged,USD,FX_TRD_02,Under Review,13-05-2025,Wire,Settled
EUR/USD,JPMorgan,EUR,USD,360T,Forward,New York,PORT4,Custom,JP Morgan,Urgent,No,Completed,Clear,USD,FX_TRD_02,Rejected,02-06-2025,Wire,Settled
USD/CHF,Deutsche,USD,CHF,Reuters,Forward,New York,PORT2,Murex,JP Morgan,Standard,Yes,Completed,Clear,CHF,FX_OPS_01,Under Review,16-05-2025,Wire,Settled
USD/CHF,Citi,USD,CHF,360T,Forward,Singapore,PORT5,Summit,JP Morgan,Urgent,Yes,Rejected,Pending Review,CHF,FX_TRD_02,Rejected,20-05-2025,Netting,Settled
USD/JPY,JPMorgan,USD,JPY,Reuters,Forward,New York,PORT2,Calypso,BNY Mellon,Urgent,Yes,Pending,Clear,JPY,FX_FIN_03,Rejected,10-05-2025,CLS,Failed
USD/CHF,HSBC,USD,CHF,Reuters,Spot,New York,PORT5,Murex,JP Morgan,Special,No,Pending,Clear,CHF,FX_TRD_02,Under Review,18-05-2025,CLS,Settled
USD/JPY,BNP Paribas,USD,JPY,Reuters,Forward,Singapore,PORT4,Summit,BNY Mellon,Urgent,No,Completed,Flagged,JPY,FX_FIN_03,Under Review,03-06-2025,CLS,Settled
EUR/USD,Deutsche,EUR,USD,360T,Forward,Singapore,PORT2,Calypso,State Street,Urgent,Yes,Rejected,Pending Review,USD,FX_FIN_03,Approved,23-05-2025,Wire,Settled
USD/JPY,Deutsche,USD,JPY,360T,Swap,London,PORT5,Calypso,BNY Mellon,Urgent,Yes,Completed,Flagged,JPY,FX_TRD_02,Under Review,02-06-2025,Wire,Failed
USD/JPY,Deutsche,USD,JPY,360T,Swap,London,PORT1,Calypso,State Street,Standard,Yes,Pending,Pending Review,JPY,FX_TRD_02,Under Review,06-06-2025,Wire,Pending
EUR/USD,Citi,EUR,USD,EBS,Swap,London,PORT2,Murex,HSBC Custody,Urgent,No,Pending,Flagged,USD,FX_TRD_02,Rejected,04-06-2025,Netting,Failed
AUD/USD,Citi,AUD,USD,EBS,Spot,London,PORT3,Summit,BNY Mellon,Standard,Yes,Pending,Clear,USD,FX_OPS_01,Rejected,13-05-2025,Netting,Pending
USD/JPY,BNP Paribas,USD,JPY,Reuters,Forward,Mumbai,PORT5,Summit,State Street,Standard,Yes,Rejected,Pending Review,JPY,FX_OPS_01,Under Review,26-05-2025,CLS,Pending
GBP/USD,Citi,GBP,USD,Bloomberg,Swap,Mumbai,PORT2,Summit,HSBC Custody,Urgent,Yes,Completed,Clear,USD,FX_TRD_02,Approved,29-05-2025,Netting,Settled
USD/INR,Citi,USD,INR,360T,Swap,New York,PORT5,Summit,BNY Mellon,Special,No,Pending,Pending Review,INR,FX_TRD_02,Under Review,11-06-2025,Netting,Failed
USD/CHF,HSBC,USD,CHF,Bloomberg,Forward,London,PORT1,Calypso,JP Morgan,Urgent,Yes,Completed,Pending Review,CHF,FX_OPS_01,Approved,09-06-2025,CLS,Failed
GBP/USD,BNP Paribas,GBP,USD,360T,Swap,Singapore,PORT1,Custom,HSBC Custody,Special,No,Pending,Flagged,USD,FX_OPS_01,Under Review,18-05-2025,Wire,Failed
EUR/USD,JPMorgan,EUR,USD,Bloomberg,Forward,London,PORT4,Summit,State Street,Urgent,Yes,Pending,Pending Review,USD,FX_FIN_03,Under Review,09-06-2025,Netting,Settled
USD/JPY,BNP Paribas,USD,JPY,EBS,Spot,Mumbai,PORT3,Murex,JP Morgan,Standard,No,Completed,Flagged,JPY,FX_FIN_03,Under Review,30-05-2025,CLS,Failed
AUD/USD,HSBC,AUD,USD,EBS,Forward,New York,PORT4,Murex,BNY Mellon,Special,No,Completed,Pending Review,USD,FX_TRD_02,Under Review,25-05-2025,Netting,Settled
GBP/USD,Deutsche,GBP,USD,Bloomberg,Forward,New York,PORT4,Custom,State Street,Standard,No,Completed,Pending Review,USD,FX_FIN_03,Approved,26-05-2025,Wire,Failed
AUD/USD,HSBC,AUD,USD,EBS,Spot,London,PORT2,Calypso,HSBC Custody,Standard,No,Rejected,Clear,USD,FX_FIN_03,Under Review,10-06-2025,Wire,Settled
AUD/USD,HSBC,AUD,USD,Reuters,Forward,Singapore,PORT3,Murex,JP Morgan,Special,No,Pending,Pending Review,USD,FX_FIN_03,Under Review,10-06-2025,Netting,Failed
EUR/USD,BNP Paribas,EUR,USD,EBS,Forward,London,PORT5,Calypso,BNY Mellon,Urgent,Yes,Completed,Pending Review,USD,FX_TRD_02,Approved,13-05-2025,Netting,Failed
AUD/USD,Citi,AUD,USD,360T,Spot,New York,PORT3,Custom,HSBC Custody,Special,No,Completed,Clear,USD,FX_OPS_01,Rejected,22-05-2025,CLS,Settled
EUR/USD,BNP Paribas,EUR,USD,EBS,Forward,New York,PORT4,Murex,HSBC Custody,Urgent,Yes,Rejected,Pending Review,USD,FX_TRD_02,Under Review,24-05-2025,Wire,Failed
EUR/USD,JPMorgan,EUR,USD,Bloomberg,Forward,Singapore,PORT5,Calypso,BNY Mellon,Special,Yes,Completed,Clear,USD,FX_TRD_02,Approved,01-06-2025,Wire,Pending
USD/CHF,HSBC,USD,CHF,EBS,Swap,London,PORT5,Summit,BNY Mellon,Urgent,Yes,Pending,Clear,CHF,FX_FIN_03,Under Review,20-05-2025,CLS,Pending
USD/INR,Citi,USD,INR,Reuters,Spot,London,PORT5,Summit,State Street,Standard,No,Completed,Flagged,INR,FX_TRD_02,Rejected,14-05-2025,Wire,Settled
GBP/USD,HSBC,GBP,USD,360T,Swap,London,PORT2,Custom,State Street,Standard,Yes,Completed,Flagged,USD,FX_TRD_02,Under Review,26-05-2025,CLS,Failed
EUR/USD,JPMorgan,EUR,USD,Bloomberg,Forward,New York,PORT4,Summit,JP Morgan,Special,No,Completed,Clear,USD,FX_FIN_03,Rejected,29-05-2025,Wire,Settled
USD/INR,JPMorgan,USD,INR,Bloomberg,Spot,Mumbai,PORT4,Summit,BNY Mellon,Special,Yes,Completed,Flagged,INR,FX_FIN_03,Under Review,11-06-2025,CLS,Failed
USD/INR,BNP Paribas,USD,INR,360T,Spot,Singapore,PORT3,Murex,BNY Mellon,Special,No,Completed,Pending Review,INR,FX_OPS_01,Under Review,09-06-2025,Netting,Failed
USD/CHF,Citi,USD,CHF,Reuters,Swap,Singapore,PORT4,Calypso,JP Morgan,Special,Yes,Rejected,Pending Review,CHF,FX_FIN_03,Rejected,27-05-2025,Netting,Pending
GBP/USD,JPMorgan,GBP,USD,360T,Spot,Singapore,PORT2,Calypso,BNY Mellon,Standard,Yes,Completed,Flagged,USD,FX_FIN_03,Rejected,31-05-2025,Wire,Failed
GBP/USD,Citi,GBP,USD,360T,Swap,Singapore,PORT5,Summit,HSBC Custody,Urgent,Yes,Completed,Flagged,USD,FX_TRD_02,Rejected,23-05-2025,CLS,Settled
USD/CHF,Deutsche,USD,CHF,EBS,Spot,Singapore,PORT1,Summit,BNY Mellon,Urgent,Yes,Rejected,Pending Review,CHF,FX_OPS_01,Under Review,23-05-2025,CLS,Failed
GBP/USD,HSBC,GBP,USD,Reuters,Forward,New York,PORT3,Summit,HSBC Custody,Special,Yes,Rejected,Clear,USD,FX_FIN_03,Approved,05-06-2025,Netting,Pending
EUR/USD,Deutsche,EUR,USD,Bloomberg,Spot,Mumbai,PORT4,Murex,State Street,Standard,No,Rejected,Clear,USD,FX_FIN_03,Under Review,22-05-2025,Netting,Pending
USD/INR,HSBC,USD,INR,EBS,Spot,Singapore,PORT1,Summit,HSBC Custody,Urgent,No,Completed,Pending Review,INR,FX_OPS_01,Under Review,01-06-2025,Wire,Pending
GBP/USD,JPMorgan,GBP,USD,Reuters,Swap,New York,PORT3,Summit,State Street,Standard,No,Completed,Clear,USD,FX_TRD_02,Under Review,16-05-2025,CLS,Pending
USD/CHF,BNP Paribas,USD,CHF,360T,Swap,New York,PORT5,Calypso,HSBC Custody,Special,No,Completed,Pending Review,CHF,FX_OPS_01,Approved,03-06-2025,Netting,Failed
AUD/USD,JPMorgan,AUD,USD,Bloomberg,Forward,London,PORT2,Custom,JP Morgan,Special,Yes,Completed,Flagged,USD,FX_FIN_03,Rejected,08-06-2025,Wire,Pending
USD/INR,HSBC,USD,INR,Reuters,Forward,Singapore,PORT5,Summit,HSBC Custody,Urgent,Yes,Pending,Flagged,INR,FX_FIN_03,Under Review,21-05-2025,Netting,Settled
USD/JPY,Deutsche,USD,JPY,Reuters,Forward,Mumbai,PORT5,Murex,State Street,Urgent,No,Rejected,Flagged,JPY,FX_TRD_02,Rejected,21-05-2025,Wire,Settled
USD/INR,JPMorgan,USD,INR,Reuters,Spot,New York,PORT2,Custom,HSBC Custody,Urgent,Yes,Pending,Pending Review,INR,FX_TRD_02,Rejected,28-05-2025,Netting,Settled
AUD/USD,JPMorgan,AUD,USD,EBS,Spot,London,PORT3,Custom,JP Morgan,Special,No,Completed,Pending Review,USD,FX_FIN_03,Approved,31-05-2025,CLS,Pending
USD/JPY,JPMorgan,USD,JPY,Reuters,Swap,London,PORT3,Murex,BNY Mellon,Special,Yes,Completed,Flagged,JPY,FX_FIN_03,Under Review,09-06-2025,Wire,Failed
EUR/USD,Deutsche,EUR,USD,360T,Swap,Singapore,PORT1,Summit,JP Morgan,Urgent,Yes,Pending,Clear,USD,FX_FIN_03,Under Review,27-05-2025,CLS,Settled
AUD/USD,Deutsche,AUD,USD,Reuters,Forward,New York,PORT2,Summit,BNY Mellon,Special,No,Pending,Clear,USD,FX_TRD_02,Rejected,02-06-2025,Wire,Failed
USD/INR,BNP Paribas,USD,INR,Reuters,Swap,London,PORT5,Summit,HSBC Custody,Standard,No,Pending,Flagged,INR,FX_TRD_02,Under Review,14-05-2025,CLS,Settled
AUD/USD,HSBC,AUD,USD,Bloomberg,Forward,Mumbai,PORT2,Custom,JP Morgan,Urgent,Yes,Completed,Clear,USD,FX_TRD_02,Under Review,04-06-2025,Wire,Pending
AUD/USD,JPMorgan,AUD,USD,360T,Spot,Mumbai,PORT1,Summit,JP Morgan,Urgent,No,Completed,Clear,USD,FX_TRD_02,Approved,25-05-2025,CLS,Failed
EUR/USD,Citi,EUR,USD,EBS,Spot,Singapore,PORT1,Summit,BNY Mellon,Urgent,No,Pending,Flagged,USD,FX_FIN_03,Under Review,12-05-2025,Wire,Failed
EUR/USD,BNP Paribas,EUR,USD,Bloomberg,Spot,New York,PORT1,Calypso,JP Morgan,Standard,Yes,Completed,Flagged,USD,FX_FIN_03,Approved,27-05-2025,Wire,Failed
AUD/USD,HSBC,AUD,USD,EBS,Forward,London,PORT4,Custom,BNY Mellon,Special,No,Completed,Clear,USD,FX_TRD_02,Approved,05-06-2025,Netting,Failed
USD/INR,Deutsche,USD,INR,360T,Forward,New York,PORT4,Calypso,State Street,Urgent,Yes,Completed,Clear,INR,FX_OPS_01,Approved,16-05-2025,Wire,Failed
USD/CHF,Citi,USD,CHF,Reuters,Spot,Singapore,PORT3,Custom,State Street,Special,No,Completed,Clear,CHF,FX_FIN_03,Approved,24-05-2025,Netting,Pending
USD/JPY,BNP Paribas,USD,JPY,Reuters,Swap,Singapore,PORT3,Custom,BNY Mellon,Urgent,No,Completed,Clear,JPY,FX_TRD_02,Approved,15-05-2025,CLS,Pending
GBP/USD,HSBC,GBP,USD,360T,Swap,London,PORT2,Murex,HSBC Custody,Special,No,Rejected,Pending Review,USD,FX_FIN_03,Rejected,25-05-2025,CLS,Pending
AUD/USD,JPMorgan,AUD,USD,Bloomberg,Spot,Mumbai,PORT4,Custom,BNY Mellon,Special,No,Completed,Pending Review,USD,FX_FIN_03,Under Review,12-05-2025,Netting,Settled
USD/JPY,HSBC,USD,JPY,EBS,Swap,Mumbai,PORT5,Murex,BNY Mellon,Standard,Yes,Completed,Clear,JPY,FX_OPS_01,Approved,23-05-2025,Netting,Pending
GBP/USD,Deutsche,GBP,USD,360T,Forward,London,PORT2,Custom,State Street,Urgent,No,Completed,Pending Review,USD,FX_OPS_01,Rejected,15-05-2025,CLS,Settled
